Location,BHK,sq_ft,bath,balcony,Price
Yelahanka New Town,1,45.06,2,1,18
Hennur Road,3,1654,3,3,97.8
Pragathi Nagar,1,799,1,0,33.645
Ngef Layout,4,2100,3,1,1000
Bellandur,3,1685,3,3,101
Banashankari,3,1540,3,3,80
Thanisandra,2,1265,2,1,72
Kasavanhalli,3,1200,2,3,38.4
Amblipura,3,1300,2,1,80
Sultan Palaya,2,1009,2,1,65
Ramamurthy Nagar Extension,3,1540,3,2,65
Bellandur,3,1735,3,3,105
HSR Layout,4,2500,4,3,300
Marsur,2,497,1,1,20
Hosakerehalli,3,2480,4,1,265
Electronic City,2,1142,2,0,35
Doctors Layout,3,1215,2,2,46.8
Electronic City,2,1070,2,1,48
Electronic City Phase II,2,1125,2,1,32.49
Bommasandra Industrial Area,2,1125,2,1,32.49
Kasavanhalli,2,1575,2,3,85
Hosa Road,2,1360,2,1,77.61
Haralur Road,3,1710,3,2,85
Electronic City Phase II,2,1200,2,1,34.65
Bannerghatta Road,4,2185,3,3,120
Bagalur,4,2400,4,3,135
Banashankari,2,1195,2,1,35.84
Vittasandra,2,1246,2,1,67
Bannerghatta Road,2,1012,2,1,45
Ganga Nagar,2,998,2,2,65
Doddaballapur,3,2400,3,1,250
7th Phase JP Nagar,2,1130,2,2,85
Koramangala,3,1744,4,1,210
Rajaji Nagar,4,2733,5,2,259
Karuna Nagar,3,1354,2,1,98
Maruthi Nagar,10,3300,9,3,450
Brookefield,2,1389,2,2,94
Sarjapur,4,2970,3,3,130
Cooke Town,3,2560,4,3,310
Lakshminarayana Pura,2,1172,2,2,75
5th Block Jayanagar,3,500,2,1,75
Kaggadasapura,3,1495,3,2,60
Varthur,2,1738,2,1,57.35
Dodda Nekkundi,2,1315,2,2,50
Marathahalli,2,1270,2,3,73
Electronic City Phase II,2,1160,2,1,52.2
Raja Rajeshwari Nagar,3,1450,2,1,67
Rayasandra,1,470,1,1,21
2nd Phase JP Nagar,2,1040,2,2,78
Sarjapur,2,1205,2,2,29
KSRTC Layout,3,1215,2,3,50
Whitefield,2,1135,2,2,58
8th Phase JP Nagar,3,1224,2,2,48.95
Budigere,1,664,1,1,34
Electronic City,3,1160,2,2,42
Babusapalaya,2,1200,2,0,105
Bommasandra Industrial Area,3,1220,2,1,35.2
Bharathi Nagar,2,1328,2,2,69
BSM Extension,2,975,2,2,45
Ambedkar Colony,3,1907,2,1,200
Malleshwaram,2,900,2,1,72
Banashankari 6th Stage,2,1330,2,2,80
Rajiv Nagar,4,2330,5,1,175
Munnekollal,3,1222,3,2,95
Dodsworth Layout,3,4446,3,2,410
Sarjapur  Road,3,2100,3,1,135
Sarjapur  Road,4,3335,4,3,290
Whitefield,3,3150,3,1,290
Jnana Ganga Nagar,3,1320,2,1,95
9th Phase JP Nagar,7,820,7,3,140
Shetty Halli,5,8000,5,3,550
Hennur Road,4,2400,5,3,500
Uttarahalli,3,1330,2,2,46.55
Hosur Road,4,2000,4,1,130
Electronic City Phase II,2,1244,2,1,55
Konena Agrahara,2,1000,2,1,50
Gunjur Palya,3,1400,3,2,45
Vignana Nagar,2,1000,2,2,35
Rajaji Nagar,2,1056,1,0,250
Uttarahalli,3,1250,2,2,50
Hebbal,4,2470,5,0,188
Jeevan bima nagar,2,1225,2,2,48
Hebbal,4,2790,5,3,198
Indira Nagar,4,2800,4,3,365
Seegehalli,3,1683,3,3,80
Yelahanka,2,1250,2,2,54
Hennur Road,3,1305,2,1,110
Sarjapur  Road,3,3009,3,1,331
Kaggalipura,3,1150,2,1,57.5
Kaggadasapura,3,1654,3,3,70
Munivenkatppa Layout,4,4500,3,0,225
Kadugodi,3,1890,4,3,125
Kasavanhalli,2,1069,2,2,55
Chandapura,2,750,1,1,18.5
Banashankari,4,675,4,0,140
Hormavu,3,2400,3,1,177
2nd Stage Nagarbhavi,5,1200,4,2,240
Koramangala,4,1410,2,0,280
7th Phase JP Nagar,3,1680,3,3,130
Sadanand Nagar,3,3500,4,2,500
Sarjapur  Road,3,1700,3,2,93.5
Brindavan Layout,4,2200,2,0,150
Thanisandra,3,1595,3,1,105
Hennur Road,3,1480,3,3,100
Bethel Nagar,3,1092,3,1,95
Koramangala,3,1866,4,2,245
Hebbal,3,3895,3,2,390
Banashankari,3,1683,3,2,115
Dasanapura,2,545,2,1,22.34
Banaswadi,2,1340,2,2,73
"Judicial Layout, Kanakapura Road, ",3,1100,3,2,53
Akshaya Nagar,1,2000,1,0,200
Whitefield,2,1185,2,2,56
Chandapura,2,1025,2,2,27.68
Haralur Road,3,1730,3,1,95
Hennur Road,3,1450,3,1,88.6
Sarjapur  Road,3,1862,4,1,110
Sarjapur  Road,4,4000,5,1,578
Old Madras Road,3,2430,5,2,180
Hoodi,1,783,1,0,40.55
Chambenahalli,2,1170,2,3,50
B Narayanapura,2,1075,2,2,50
Kodichikkanahalli,2,1060,2,1,34
Sarjapur,2,850,2,2,32
P&T Layout,2,935,2,1,45.9
Gollarapalya Hosahalli,4,1905,3,3,86
8th Block Jayanagar,6,2000,6,3,300
Uttarahalli,2,1125,2,1,47
9th Phase JP Nagar,6,600,6,2,75
Chikkabanavar,4,1500,4,1,105
Bannerghatta Road,3,1725,3,3,85
Dodda Banaswadi,2,1120,2,3,36
Brookefield,3,1750,2,2,75
7th Phase JP Nagar,3,2000,3,2,77
Koramangala,3,1745,3,3,98
Bagalakunte,5,750,3,1,95
Uttarahalli,3,1270,2,2,55.25
Iblur Village,5,5384,5,3,420
Sahakara Nagar,2,1180,2,2,72
Shanti Nagar,2,1130,2,1,75
Old Airport Road,4,2774,4,3,197
Ardendale,3,1723,3,2,95
Mysore Road,2,1175,2,2,70.5
Ambalipura,3,1607,2,2,112
Varanasi,2,1334,2,1,62
Vishwapriya Layout,5,2800,5,3,130
Bellandur,3,1138,3,2,128
Bannerghatta,2,1113,2,1,70
9th Phase JP Nagar,3,1300,2,2,58
Judicial Layout,4,2400,4,3,350
Sahakara Nagar,2,1200,2,2,60
cooketown,3,1900,3,2,190
Jakkur,4,5150,4,3,559
2nd Stage Nagarbhavi,5,1200,5,3,290
Whitefield,4,2956,5,3,234
Begur Road,5,1100,5,1,165
Panathur,2,1398,2,1,97
Margondanahalli,2,1152,1,0,66
Rajarajeshwarinagar,4,1200,5,3,325
Nagavara,2,1110,2,2,44.95
 Devarachikkanahalli,2,1116,2,1,47
Babusapalaya,2,1061,2,1,33.84
Malleshwaram,1,620,1,1,86.8
7th Phase JP Nagar,3,1300,2,2,52
Yelahanka,2,1270,2,2,57
Peenya,2,966,2,2,50
AMS Layout,4,1200,4,1,110
Kodigehalli,4,1320,4,3,249
Iblur Village,4,3596,5,1,297
Kathriguppe IV Phase,3,1630,3,2,131
Kodipalya,5,600,6,3,72
Ramchandrapuram,4,600,4,2,60
Amruthahalli,2,1202,2,1,65
Pampa Extension,4,1200,4,2,250
Jakkur,2,1300,2,2,80
Uttarahalli,6,1200,6,2,330
Electronic City,3,1360,2,1,70
Hennur Road,2,1155,2,1,69.18
Hosakerehalli,3,2378,3,1,310
Hulimavu,2,1011,2,2,38
HSR Layout,2,1203,2,2,72
Hebbal,3,1645,3,2,113
Horamavu Agara,3,1364,2,3,50
Anekal,2,1200,1,1,36
KR Layout,1,1050,2,2,41
Kothanur,3,1365,3,3,66
Jigani,3,1252,3,3,70
Jigani,3,1221,3,2,65
Panathur,2,1065,2,1,58
Uttarahalli,3,1270,2,1,55.25
Sahakara Nagar,2,1032,2,2,45
Frazer Town,4,2900,4,2,325
Sector 2 HSR Layout,3,1515,2,3,69
Akshaya Vana,2,1427,2,2,52
Magadi Road,2,940,2,2,50
Medahalli,5,800,5,1,95
Bannerghatta Road,3,1460,2,2,80
Sarjapur  Road,3,2275,4,2,175
9th Phase JP Nagar,3,1522,3,2,90
Basaveshwara Nagar Yelahanka,3,3210,4,2,380
Thanisandra,2,1185,2,2,42.67
1Hoysalanagar,13,5425,13,0,275
Banashankari,3,1800,3,2,125
Electronics City Phase 1,2,940,2,1,44
Andrahalli,4,1200,4,2,135
Marathahalli,3,1530,3,2,71
Gollahalli,2,1050,2,1,48
Subramanyapura,2,929,2,2,49
Banjara Layout,4,3750,5,3,145
Whitefield,3,1530,3,3,75
PC Palaya,2,900,2,1,48
Vasanthapura,2,978,2,1,34.22
Sathya Sai Layout,4,4041,4,2,345
Ambalipura,1,770,1,2,43.82
Kaval Byrasandra,2,1066,2,3,55
Electronic City,1,635,1,0,28
Whitefield,2,1015,2,1,45
Hebbal,2,1175,2,0,54.05
Chikkabanavar,4,1200,4,2,130
Vidyaranyapura,2,1188,2,1,50
Indira Nagar,5,2400,5,2,700
Soppahalli,1,620,1,1,25
Ejipura,2,1210,2,0,75
Attibele,3,1000,3,1,90
Rajaji Nagar,3,1500,2,3,99
Electronic City,4,1800,3,2,190
Thanisandra,2,1185,2,2,43.66
Basavangudi,3,1600,3,3,130
Gottigere,2,1100,2,1,28
Yelahanka,2,1300,2,2,69.23
Kasavanhalli,2,1100,2,1,68
Ambalipura,2,860,2,1,28.93
Panathur,2,1007,2,1,64
Akshaya Nagar,2,1100,2,2,48
Whitefield,2,1187,2,1,38
R.T. Nagar,2,1150,2,2,72
Nagavara,3,2400,3,2,252
Aavalahalli,2,1180,2,3,41.94
Budigere,3,1820,3,2,85.2
Hennur Bande,6,1200,6,3,180
Sector 1 HSR Layout,3,2400,6,2,775
KR Puram,4,3628,4,1,246
Kodbisanhalli,3,1430,3,2,70
Kanakpura Road,2,700,2,1,40
Kattigenahalli,2,1200,1,0,70
Old Madras Road,2,1165,2,1,40.77
Jalahalli,3,1569,3,2,118
Basaveshwara Nagar Yelahanka,3,1950,4,3,95
Jayanti Nagar,2,1200,3,1,70
Yelahanka New Town,3,2437,3,2,125
Marathahalli,2,950,2,2,46.7
Bellandur,3,1685,3,3,115
Green Glen Layout,4,3270,4,3,205
Sarjapur  Road,2,1314,2,2,110
New Gurappana Palya,3,1250,3,2,40
Virudhu Nagar,2,1130,2,2,68
Doddakannelli,6,1200,9,3,122
Sultan Palaya,6,890,5,2,160
kamanahalli main road,3,857,3,2,95
Whitefield,3,2247,3,3,145
Marathahalli,3,1550,3,2,85
Hoodi,3,1715,2,2,100
Hennur Road,2,1053,2,1,53
Begur Road,3,1200,3,0,50
HBR Layout,3,1800,2,1,230
Chikkabanavar,5,2400,4,0,97
Kodbisanhalli,2,1245,1,3,60
Koramangala,2,1320,2,1,160
Whitefield,4,3940,5,3,265
Thanisandra,3,1241,2,1,65
7th Phase JP Nagar,3,2980,4,2,260
7th Block Koramangala,6,600,5,3,130
Raja Rajeshwari Nagar,2,1090,2,2,57
Byrasandra,3,1390,2,1,50
Sampangi Rama Nagar,8,600,4,3,175
Jakkur Plantation,3,2750,5,2,275
Kanakpura Road,3,1100,2,1,52.97
Koramangala,2,1350,2,2,103
Prakash Nagar,2,800,2,2,55
Sarjapur  Road,3,1787,3,2,116
BTM Layout,3,2400,3,2,220
Haralur Road,4,3700,4,2,325
Sarjapur  Road,3,1691,3,2,93.01
Bhoganhalli,4,2119,4,3,111
Chikka Tirupathi,3,2325,3,3,95
Thyagaraja Nagar,5,570,5,0,80
Akshaya Nagar,3,1896,3,2,102
Banashankari Stage V,3,1540,3,2,48.51
Cambridge Layout,2,1244,2,2,95
Hormavu,3,1365,2,2,65
Thanisandra,1,580,1,1,27.5
Hebbal,3,1355,3,2,83.87
Bharat Nagar,3,1500,4,2,180
8th Phase JP Nagar,2,1513,2,3,62
Banashankari,2,1175,2,1,41.13
Thanisandra,3,2087,4,2,139
Talaghattapura,3,2273,3,2,145
Thanisandra,3,2050,3,2,150
Garebhavipalya,2,1200,2,1,75
Whitefield,2,1190,2,3,59
Kodigehalli,4,600,3,2,85
Marathahalli,2,1019,2,2,49.86
Thigalarapalya,3,1830,3,2,133
Channasandra,7,4278,7,1,299
Sarjapur  Road,2,1028,2,1,56
Old Madras Road,2,1300,2,2,100
Whitefield,2,1160,2,1,67
Mahadevpura,3,1505,3,2,78
Kogilu,2,1250,2,1,55.55
Ramchandrapuram,1,400,2,1,50
Sarjapur,2,1175,2,1,41.68
Janatha Colony,2,1100,2,2,57.6
Vishwanatha Nagenahalli,3,2159,3,2,120
Devanahalli,2,1230,2,1,56.45
Gkvk Layout,3,1200,4,2,180
Channasandra Layout,5,3100,6,1,165
Old Madras Road,5,4500,7,0,287
Hegganahalli,1,1200,1,0,48
Dodsworth Layout,2,1340,2,1,71
Banashankari,3,1750,2,2,89
Banashankari Stage II,2,1400,2,1,100
Nagarbhavi,3,1350,3,0,60
RMV Extension,3,1675,3,3,62
Thanisandra,2,1340,2,1,66.33
Malleshwaram,2,600,1,0,68
Hulimavu,2,1276,2,2,76
Ramagondanahalli,3,1738,2,3,76
"Hoodi Circle, ",2,1190,2,2,59.9
Electronic City,2,1128,2,1,65.45
Veersandra,2,1250,2,1,55
ITI Layout,2,1450,2,2,90
Kudlu,2,1084,2,1,53
Kaggadasapura,4,2150,4,2,90
Koramangala,4,6000,4,0,625
Nagarbhavi,4,600,3,0,77
Hosur Road,2,1250,2,2,65
Seegehalli,3,2400,4,1,240
Begur,3,1304,3,0,65
Rajaji Nagar,3,1640,3,2,268
7th Phase JP Nagar,2,980,2,1,77.44
Ramanashree Enclave,2,1275,2,2,49.5
"Yelahanka,MVIT college",1,10030,1,1,150
Banjara Layout,3,2500,4,0,140
Bidadi,4,3600,4,0,225
Anekal,3,2400,4,0,95
Chikku Lakshmaiah Layout,3,2300,3,2,280
Kanakpura Road,3,1450,2,2,70.18
Electronic City,2,890,2,1,40
Bannerghatta Road,2,1340,2,3,85
Vidyaranyapura,3,1100,2,1,75
Kengeri,2,750,2,1,40
Basaveshwara Nagar,4,700,4,2,125
Akshaya Nagar,2,1300,2,2,66
HRBR Layout,2,1301,2,1,120
Gnana Bharathi,9,3200,8,1,130
Pillahalli,3,1900,2,3,92
Kanakpura Road,2,1299,2,1,105
Anugrah Layout,3,1250,3,3,40
Whitefield,4,1600,4,2,300
Kalkere,2,925,2,1,55
Meenakunte,3,3900,3,3,250
Uttarahalli,2,1107,2,1,45
Ramesh Nagar,2,1400,2,2,160
Electronics City Phase 1,2,1300,2,1,67
Yeshwanthpur,2,570,2,1,62
Hiremath Layout,3,1715,3,2,95
Uttarahalli,2,1200,2,1,55
9th Block Jayanagar,6,1200,5,1,280
Ashok Nagar,2,703,2,1,60
Talaghattapura,2,921,2,2,29.47
Marathahalli,2,1144,2,2,65
Kanakpura Road,1,525,1,1,26.01
Suddaguntepalya,3,1400,2,2,56
Balagere,1,661,1,1,33
Upkar Layout,6,1200,6,2,160
Kengeri Satellite Town,5,1200,5,2,70
Yelahanka,3,1705,3,1,91
Anjana Nagar,5,1035,5,1,170
Kadugodi,3,1430,2,0,55
Marathahalli,2,1240,2,2,55
Garudachar Palya,3,1325,2,2,60.8
Thanisandra,2,1230,2,2,44
Electronics City Phase 1,2,1000,2,3,28
Gollarahatti,4,740,2,1,24.5
Uttarahalli,3,1330,2,2,46.45
Sarjapur  Road,4,3005,5,2,275
Shivaji Nagar,3,1300,3,2,170
Haralur Road,2,1243,2,2,46
Kengeri Satellite Town,4,936,2,1,60.84
Banashankari Stage III,3,1500,2,2,100
Kodigehalli,3,1200,4,1,156
Cox Town,2,1073,2,2,72
Kudlu,2,1300,2,2,56
Sarjapur,4,4201,4,3,435
Electronic City,2,1065,2,1,30.75
Whitefield,2,1216,2,1,66.88
Jigani,3,1252,3,2,59
Hormavu,2,1196,2,1,44.8
Kudlu,2,1027,2,2,44
Padmanabhanagar,3,610,2,1,75
Poornapragna Housing Society Layout,3,1270,2,2,57.15
Mico Layout,2,1171,2,2,39
Kothannur,3,1215,2,3,48.6
Venkateswara Nagar,1,600,1,0,20
Whitefield,2,1180,2,1,77
Electronic City Phase II,2,1160,2,1,33.51
Chikkagubbi,4,4382,4,3,400
Whitefield,3,2140,3,2,139
Yeshwanthpur,3,1500,3,1,100
Banaswadi,2,1008,2,2,52
Ambedkar Nagar,3,1921,4,3,129
Electronic City,2,1127,2,2,32
Rajaji Nagar,3,1621,3,1,124
Poornapragna Housing Society Layout,3,2400,3,0,360
Banashankari 2 nd Stage,3,1030,2,2,77.25
Whitefield,2,1314,2,1,84
Choodasandra,3,1220,3,1,56
Banashankari Stage VI,4,600,3,1,97
JP Nagar,3,1590,2,3,85
Shivaji Nagar,2,703,2,1,49.5
Hosakerehalli,3,1795,3,2,64.62
Gottigere,4,3000,3,0,132
Sarjapur  Road,4,4395,4,2,242
Electronic City,2,825,2,1,35
Yelahanka,4,4025,6,1,350
Vajarahalli,3,1254,2,1,70
Ramagondanahalli,3,2040,3,2,114
Thigalarapalya,3,2215,4,2,154
Jalahalli,2,1478,2,2,125
Malleshwaram,3,2475,4,3,337
Cambridge Layout,3,1669,3,2,298
Nagappa Reddy Layout,3,1820,3,2,79.5
Horamavu Agara,3,1623,3,1,89
Haralur Road,2,1243,2,2,46
Electronic City,2,1200,2,2,40.5
Gottigere,3,1613,3,3,72
Rajiv Gandhi Nagar,2,1293,2,2,80
Hoskote,2,1065,2,2,28.5
Kudlu Gate,2,940,2,1,69.57
Sarjapur  Road,3,1181,2,1,65
Malleshwaram,3,2215,3,2,275
Marathahalli,1,1100,2,3,75
MLA Layout,2,1050,2,1,36
Subramanyapura,3,1260,2,1,75
Banashankari Stage II,5,2800,3,2,425
Dodda Banaswadi,3,1500,3,2,56
KR Puram,6,1200,6,3,132
Esther Enclave Layout,2,1000,2,0,66
Whitefield,3,1530,3,3,73
HSR Layout,2,1140,2,2,46
Dodda Nekkundi Extension,3,1864,3,3,115
Sarjapur,3,1575,3,3,55
Attibele,3,1200,3,2,105
Raja Rajeshwari Nagar,2,945,2,1,45
Sarjapur  Road,3,1691,3,2,100
KR Garden,2,1200,2,3,135
Electronic City Phase II,3,1220,3,1,35.25
Kengeri,1,600,1,1,35
Whitefield,2,1160,2,2,39
Dodda Nekkundi Extension,3,1950,2,3,89.5
Vittasandra,3,1650,3,1,85
Annapurneshwari Nagar,4,2400,4,1,150
Abbigere,2,795,1,1,32.6
Raghavendra Nagar,5,800,5,1,95
TC Palaya,5,1400,5,1,97
Kalyan nagar,3,2285,4,1,165
Haralur Road,2,1243,2,2,46
Kammagondahalli,2,1263,2,1,51.5
Nanjappa Layout Vidyaranyapura,5,1200,4,2,115
Hennur,3,1345,2,1,69
D Group Employees Layout,5,4400,5,3,240
Electronic City,3,1360,2,1,58
Sarjapur  Road,2,1026,2,1,60.55
Alfa Garden Layout,2,1050,2,2,38
Uttarahalli,3,1460,3,3,76
Banagiri Nagar,3,1525,2,2,91.48
Kanakpura Road,3,1843,3,2,85
Ananth Nagar,2,1000,2,3,25
Koramangala,3,1642,2,1,115
TC Palaya,3,1200,2,0,66
Austin Town,2,975,2,1,60
Bisuvanahalli,3,1075,2,1,44
Panathur,2,1210,2,1,77.93
Rammana Layout,3,2000,3,2,100
Akshaya Nagar,2,1225,2,0,68
Jakkur,2,1290,2,1,80.04
Remco Bhel Layout,2,1220,2,0,56
A Narayanapura,1,1500,2,0,85
Kaggadasapura,2,1361,2,2,79
Frazer Town,5,2801.25,4,1,462
1st Phase JP Nagar,2,1394,2,2,85
Yelahanka,2,870,2,1,27
Marasandra,4,5000,5,3,300
Rajaji Nagar,2,1222,2,2,98
Hebbal,2,1420,2,1,99.39
Bellandur,3,1846,3,2,135
Benson Town,2,1688.12,2,1,270
Yeshwanthpur,2,1167,2,2,64.08
Ananth Nagar,2,902,2,2,25
Kannamangala,4,2422,4,3,135
Rachenahalli,2,1050,2,2,52.5
Rajapura,2,1000,2,0,50
Kundalahalli,2,1260,2,0,58
Banashankari Stage II,3,3000,3,2,450
Jigani,2,939,2,2,39
Konanakunte,9,1590,6,1,150
Jalahalli,1,600,1,0,37
8th Phase JP Nagar,2,1298,2,1,59
Marathahalli,3,1710,3,2,135
Subramanyapura,2,1000,2,1,45
Ramagondanahalli,3,3350,3,3,150
Bagalakunte,2,1200,4,1,138
RPC layout,2,1100,2,2,68
Jalahalli,1,615,1,1,46
Sarjapur  Road,2,1350,2,1,85
Sultan Palaya,4,5000,5,2,325
Cunningham Road,3,2700,3,1,501
Vijaya Bank Layout,6,4000,6,2,460
Hegde Nagar,3,1718,3,2,130
7th Phase JP Nagar,3,1680,3,2,112
Hulimavu,2,1500,2,0,90
Sarjapur  Road,3,1157,2,1,72
Akshaya Nagar,2,1179,2,1,51
Hulimavu,2,1255,2,0,60.48
Phase 1 Kammasandra,2,1105,2,2,28.18
Banashankari,3,1800,3,2,175
Jalahalli East,2,1010,2,1,52
Electronic City,1,630,1,1,46
Anekal,2,1200,2,1,36.1
Kaval Byrasandra,2,1025,2,1,60
Hennur Road,2,1195,2,2,59
Whitefield,2,1012,2,1,58
Hegde Nagar,3,1884,4,2,118
Sarjapura - Attibele Road,2,1090,2,1,37
Kathriguppe,3,1300,3,2,77.99
Amblipura,4,2950,4,2,250
Harlur,3,1710,3,3,85
Uttarahalli,3,1500,3,1,68
Kodichikkanahalli,3,1310,2,2,53
Dommasandra,2,674,1,1,19.9
Hoodi,3,1350,3,2,70
Hennur Gardens,3,1464,2,2,115
Marsur,3,715,2,1,29
Electronic City,3,1400,2,1,40.45
Electronic City Phase II,3,1625,2,2,48.75
Electronic City,2,1065,2,1,30.76
Kumaraswami Layout,6,510,4,1,70
HMT Layout,3,1385,3,3,90
CV Raman Nagar,2,1040,2,1,50
Haralur Road,3,1817,3,2,110
Volagerekallahalli,2,1205,2,1,47
Volagerekallahalli,2,1070,2,2,33.43
Kodathi,2,1070,2,1,52
Amruthahalli,2,1340,2,1,75
Kalena Agrahara,2,980,2,2,35
8th Phase JP Nagar,2,1006,2,0,44
Thanisandra,2,1098,2,1,71
Mico Layout,2,1200,2,1,53.5
Thigalarapalya,4,4190,4,2,325
Sarjapur  Road,2,1019,2,1,62
Whitefield,2,1150,2,2,40.21
Anekal,3,1733.5,3,1,120
Yeshwanthpur Industrial Suburb,2,1415,2,2,120
"Electronic city Phase 1, ",3,1750,3,2,58
Raja Rajeshwari Nagara,3,1537,3,2,81
Chennappa Layout,2,1050,2,2,45
Kanakpura Road,3,1452,3,3,55.6
Domlur,2,1246,2,1,95
Yelahanka,3,1890,4,2,85
Electronic City Phase II,2,972,2,1,40
5th Block Jayanagar,4,10624,4,2,2340
Brookefield,4,1500,5,3,160
Electronic City,1,630,1,1,33.7
Kothanur,8,1050,5,0,80
Shingapura,3,1255,2,1,60
Ramamurthy Nagar,4,1900,4,2,185
Doddaballapur,3,2440,3,1,142
Kanakpura Road,3,1938,3,3,92.69
Bannerghatta Road,3,1711,3,2,125
Nagarbhavi,5,1200,4,3,240
CV Raman Nagar,2,1392,2,1,95
Haralur Road,2,1225,2,1,77
Sarjapur  Road,4,3418,3,3,235
Green Glen Layout,3,1750,3,2,120
Subramanyapura,3,1260,2,1,80
Sarjapur  Road,1,691,1,1,31.1
BTM 2nd Stage,4,2400,3,2,400
Haralur Road,2,1285,2,1,78
Hebbal,3,1590,3,2,96
9th Phase JP Nagar,3,1571,3,2,65
Hebbal Kempapura,5,2800,5,1,220
Garudachar Palya,2,1060,2,1,48.66
Hennur,2,1255,2,1,58
Govindapura,4,702,4,0,65
Lal Bahadur Shastri Nagar,3,2400,2,2,185
Bannerghatta Road,3,1520,2,3,81
Kanakpura Road,3,1430,2,2,70.99
Gollahalli,2,1170,2,1,45.51
OMBR Layout,3,1580,3,2,75
Ardendale,3,1777.26,3,2,89
Raja Rajeshwari Nagar,2,1303,2,2,55.78
Kodichikkanahalli,2,1680,2,3,59
Whitefield,3,1495,2,2,70
Yelahanka,3,1835,3,1,108
Banjara Layout,3,610,3,1,60
Nagawara Junction,2,1080,2,2,38
Electronic City,2,1025,2,1,29.61
Haralur Road,2,1225,2,1,67.48
Balagere,1,656,1,1,34.77
Sarjapur  Road,2,994,2,2,45
Thirupalya,2,1025,2,1,65
Marathahalli,2,1156,2,2,52
JP Nagar,2,1250,2,2,60
Kundalahalli,4,3092,4,3,230
Hegde Nagar,3,1930,4,2,122
New Thippasandra,2,1020,2,1,70
Kumaraswami Layout,3,1310,2,1,70
Jalahalli,1,610,1,0,27.565
Kanakpura Road,2,1322,2,3,70
Kothanur,2,1160,2,2,57
5th Block Hbr Layout,2,1100,2,2,48
Lakshminarayana Pura,3,1720,3,3,150
Hosur Road,3,1689,3,2,103
Chikkalasandra,2,1090,2,1,47.42
KR Puram,2,2000,2,0,75
Venugopal Reddy Layout,2,1155,2,2,69
Vishveshwarya Layout,6,4000,6,0,230
Sarjapur  Road,4,3913,5,0,176
Hebbal,3,3520,5,2,320
JP Nagar,2,1125,2,2,39.98
Yelahanka,3,1847,3,3,92
7th Phase JP Nagar,3,1515,2,1,76
Raja Rajeshwari Nagar,8,3450,7,2,225
Yelahanka,5,2500,3,1,120
Sarjapur  Road,2,1130,2,2,55
Bellandur,2,1049,2,1,51
Amruthahalli,3,2650,4,0,175
Varthur Road,2,850,2,1,25.4
Badavala Nagar,3,1842,3,2,115
Govindaraja Nagar Ward,5,2600,5,3,370
Jakkur,2,1282,2,1,72
Kalena Agrahara,2,800,2,1,40
Gidada Konnenahalli,4,1200,4,2,240
Chandapura,3,1190,2,2,30.35
Magadi Road,3,1318,2,1,68
Kanakpura Road,2,1698,2,1,105
Jayanagar,3,2030,2,1,182
Kammasandra,3,1276,2,1,31.9
Shikaripalya,3,1555,2,1,67
Sarjapur  Road,3,1881,3,2,145
frazertown,3,2900,3,2,325
Yelahanka,3,1890,3,2,109
M V Extenstion,5,900,5,3,135
Old Madras Road,2,935,2,1,32
Cox Town,2,1000,2,3,58
Singasandra,3,1510,3,2,75
Uttarahalli,2,1120,2,1,50
Ananth Nagar,2,930,2,1,25.99
Electronic City,3,1160,2,2,42
Raja Rajeshwari Nagar,2,1419,2,2,48.1
Talaghattapura,2,1175,2,2,62
Bellandur,3,1350,2,1,63
Malleshwaram,3,2215,3,2,330
Attibele,2,996,2,1,24.9
Anjanapura,2,1076,2,1,30.13
Off Bannergatta road,4,2180,4,3,115
Kasavanhalli,3,1715,3,3,112
Hebbal,2,1072,2,2,45
Panathur,2,1230,2,1,80
Murugeshpalya,3,1600,2,1,65
Thanisandra,3,1411,3,1,93.25
Rayasandra,5,3600,5,3,145
Jalahalli,3,2404,3,2,138
Sahakara Nagar,4,1200,4,2,190
Nagarbhavi,3,1200,3,2,226
Doddathoguru,3,1208,3,1,45
Yeshwanthpur,5,1700,5,2,300
Haralur Road,2,1225,2,1,69.84
Hebbal,2,1162,2,1,69
Thanisandra,3,1262,2,1,65
Konanakunte Cross,2,1050,2,2,35
Electronic City Phase II,2,1160,2,1,33.51
Channasandra,3,1500,3,1,61.95
Vaderahalli,3,1610,3,3,85
Whitefield,2,1340,2,2,41
Sarjapur  Road,3,2275,4,2,182
Budigere,2,1162,2,1,58
Manorayana Palya,2,1500,2,0,145
Hiremath Layout,4,3150,3,1,135
Hosa Road,2,1170,2,2,65
Sarjapur  Road,2,980,2,1,25
Channasandra,3,1800,3,2,60
Banashankari Stage VI,3,1423,2,1,71.73
Kaggadasapura,2,1106,2,3,40
Kereguddadahalli,2,1105,2,2,27.6
Cunningham Road,4,7500,6,2,1800
Tirumanahalli,2,1255,2,1,56.7
Sarjapur  Road,3,1525,2,2,65
Babusapalaya,2,1061,2,1,38.95
Hoskote near,2,600,2,2,29.5
Electronic City Phase II,3,1400,2,2,40.45
Domlur,3,2100,3,2,145
Electronic City,2,660,1,1,16.5
Kengeri,2,633,1,1,18
Indira Nagar,2,1260,2,3,120
ITPL,2,854,2,0,55.43
Hennur Road,3,2047,3,2,67.55
"Haralur Road, ",4,2597,4,3,189
Bellandur,2,1211,2,1,63
Hennur Road,3,1904,3,2,129
